Service description,Service ID,Cost ($),Discounts ($),Promotions and others ($),Unrounded subtotal ($),Subtotal ($),Percent change in subtotal compared to previous period
Compute Engine,6F81-5844-456A,41.83,0.00,-41.83,0.000000,0.00,0%
Networking,E505-1604-58F8,1.33,-1.33,0.00,0.000000,0.00,0%
,,,,Subtotal,0.000000,0.00
,,,,Tax,0.000000,0.00
,,,,Total,0.000000,0.00
